SHOVEL,DUMPER ,LEAD,COMBINATION,CODE,CELING ,STD TRIP
S01,D02,L01,S01D02L01,101,905,39
S01,D02,L02,S01D02L02,102,904,27
S01,D02,L03,S01D02L03,103,875,22
S01,D02,L04,S01D02L04,104,906,21
S01,D02,L05,S01D02L05,105,900,20
S01,D02,L06,S01D02L06,106,917,19
S01,D02,L07,S01D02L07,107,837,18
S01,D02,L08,S01D02L08,108,842,17
S01,D02,L09,S01D02L09,109,858,17
S01,D02,L10,S01D02L10,110,841,16
S01,D02,L11,S01D02L11,111,885,17
S01,D02,L12,S01D02L12,112,875,16
S01,D03,L01,S01D03L01,113,886,62
S01,D03,L02,S01D03L02,114,887,38
S01,D03,L03,S01D03L03,115,911,28
S01,D03,L04,S01D03L04,116,866,25
S01,D03,L05,S01D03L05,117,871,23
S01,D03,L06,S01D03L06,118,860,21
S01,D03,L07,S01D03L07,119,846,20
S01,D03,L08,S01D03L08,120,871,19
S01,D03,L09,S01D03L09,121,848,17
S01,D03,L10,S01D03L10,122,863,17
S01,D03,L11,S01D03L11,123,878,17
S01,D03,L12,S01D03L12,124,906,17
S01,D04,L01,S01D04L01,125,886,62
S01,D04,L02,S01D04L02,126,887,38
S01,D04,L03,S01D04L03,127,911,28
S01,D04,L04,S01D04L04,128,866,25
S01,D04,L05,S01D04L05,129,871,23
S01,D04,L06,S01D04L06,130,860,21
S01,D04,L07,S01D04L07,131,846,20
S01,D04,L08,S01D04L08,132,871,19
S01,D04,L09,S01D04L09,133,848,17
S01,D04,L10,S01D04L10,134,863,17
S01,D04,L11,S01D04L11,135,878,17
S01,D04,L12,S01D04L12,136,906,17
S01,D12,L01,S01D12L01,137,905,27
S01,D12,L02,S01D12L02,138,904,19
S01,D12,L03,S01D12L03,139,875,15
S01,D12,L04,S01D12L04,140,906,15
S01,D12,L05,S01D12L05,141,900,14
S01,D12,L06,S01D12L06,142,917,13
S01,D12,L07,S01D12L07,143,837,13
S01,D12,L08,S01D12L08,144,842,12
S01,D12,L09,S01D12L09,145,858,12
S01,D12,L10,S01D12L10,146,841,11
S01,D12,L11,S01D12L11,147,885,12
S01,D12,L12,S01D12L12,148,875,11
S01,D13,L01,S01D13L01,149,886,43
S01,D13,L02,S01D13L02,150,887,27
S01,D13,L03,S01D13L03,151,911,20
S01,D13,L04,S01D13L04,152,866,18
S01,D13,L05,S01D13L05,153,871,16
